which;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;precision_macro;recall_macro;fmeasure_macro;matthews_corrcoef
beto4-6-22.5-0.0139560954695901-PRAUC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
beto4-6-24.0-0.0056959379303549-PRAUC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
beto4-6-24.0-0.0139027380236984-PRAUC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
beto4-6-24.5-0.0120391084645133-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-6-24.5-0.0120840875302231-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-6-24.5-0.0125982501888162-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-6-6.5-0.0453819061941833-Precision;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-6-7.0-0.0064410961258295-Precision;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-8-23.5-0.0100769662939516-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-8-24.0-0.0081556052229905-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-8-24.0-0.01145084449134-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-8-24.5-0.0058863126409144-PRAUC;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
beto4-9-21.0-0.0140549047729279-Recall;0.9497716894977168;0.38461538461538464;0.625;0.47619047619047616;0.9634890755385501;0.9497716894977168;0.9554501213119524;0.685026138909634;0.793542654028436;0.7249057896539911;0.4661032670135152
multilingua4-10-20.5-0.0047448865250161-Precision;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-22.5-0.0357288439681339-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-23.5-0.0271511662933844-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-24.5-0.0213353630646625-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-24.5-0.0346466603973188-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-25.0-0.0086869616848922-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-10-25.0-0.0113953655037256-PRAUC;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
multilingua4-3-9.0-0.0022708231155861-Precision;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
multilingua4-6-16.5-0.0981343930124028-PRAUC;0.9771689497716894;0.8;0.5;0.6153846153846154;0.9746852729057314;0.9771689497716894;0.9746151779995456;0.8906542056074767;0.7476303317535544;0.8018099547511313;0.6220541151234376
